rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,I,C,"Golledge et al., Kumakura et al., Djerf et al.","For patients with intermittent claudication, it is recommended that all revascularisation decisions are individualised and involve the patient in a shared decision making process that considers available non-invasive therapies, expected treatment benefit, procedure related risk, and long term patency"
2,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,I,C,[Consensus],"For all patients with lower limb peripheral arterial disease, an evaluation of individual benefit and bleeding risk with suitable prediction scores is recommended as part of shared decision making before initiation of antithrombotic therapy or modification of an ongoing well tolerated antithrombotic treatment regimen to keep bleeding complications at a minimum."
3,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,III,B,[Guirguis-Blake <i>et al.</i> <br>Alahdab <i>et al.</i> <br>Andras <i>et al.</i> <br>Lindholt <i>et al.</i>],"For clinically asymptomatic individuals without increased cardiovascular risk, screening for lower limb peripheral arterial disease with ankle brachial index measurements is not recommended due to the lack of direct evidence for screening in the general population."
4,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,IIb,B,[Lindholt <i>et al.</i> <br>Shah <i>et al.</i> <br>Matsushita <i>et al.</i> <br>Sartipy <i>et al.</i> <br>Lindholt <i>et al.</i>],"For clinically asymptomatic individuals at increased risk of lower limb peripheral arterial disease\*, focused screening for peripheral arterial disease with ankle brachial index measurements based on the lowest recorded ankle pressure may be considered, to support secondary prevention strategies."
5,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,I,B,[Aboyans <i>et al.</i> <br>Xu <i>et al.</i> <br>Donohue <i>et al.</i> <br>Weragoda <i>et al.</i> <br>Crawford <i>et al.</i>],The ankle brachial index is recommended as the appropriate test to establish the diagnosis of lower limb peripheral arterial disease.
6,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,I,C,[Aboyans <i>et al.</i> <br>Weragoda <i>et al.</i>],"It is recommended that an ankle brachial index cutoff value at $\le 0.9$ is used for lower limb peripheral arterial disease diagnosis, and that a value $\ge 1.4$ be considered inconclusive."
7,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,I,C,[Niazi <i>et al.</i> <br>Schroder <i>et al.</i> <br>Klein <i>et al.</i>],"When the ankle brachial index is used to estimate the severity of lower limb peripheral arterial disease in symptomatic patients or is being used during follow up after revascularisation, it is recommended to be calculated by dividing the highest systolic pressure at ankle level by the highest systolic arm pressure."
8,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,I,B,[Niazi <i>et al.</i> <br>Le Bivic <i>et al.</i> <br>O'Hare <i>et al.</i> <br>Espinola-Klein <i>et al.</i> <br>Pereira Fihlo <i>et al.</i>],"When the ankle brachial index is used as a cardiovascular risk marker, it is recommended that it is calculated by dividing the lowest recorded systolic pressure at ankle level by the highest systolic arm pressure due to the higher sensitivity to detect peripheral arterial disease."
9,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,IIa,B,[Herraiz-Adillo <i>et al.</i> <br>Laivuori <i>et al.</i>],"For individuals with a clinical suspicion of lower limb peripheral arterial disease but with inconclusive ankle brachial index recordings due to partly or completely incompressible arteries at ankle level, the use of toe brachial index or absolute toe pressures should be considered as additional diagnostic tools to detect peripheral arterial disease."
10,Peripheral,Management of Asymptomatic Lower Limb Peripheral Arterial Disease and Intermittent Claudication,2024,IIa,B,[Laivuori <i>et al.</i>],"For individuals with a clinical suspicion of lower limb peripheral arterial disease despite an ankle brachial index within the normal range, the use of toe brachial index or absolute toe pressures should be considered, to confirm peripheral arterial disease."
