rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Peripheral,Management of Acute Limb Ischaemia,2020,I,C,"[""Consensus""]",For patients with acute limb ischaemia it is recommended: that the best interests of the patient are considered before deciding on treatment; to obtain informed consent to management if at all possible; and to record decisions clearly.
2,Peripheral,Management of Acute Limb Ischaemia,2020,IIa,B,"[""Mouhayar"", ""Tsang"", ""Morris-Stiff"", ""Nicolajsen""]","For patients with acute limb ischaemia and underlying malignant disease, active revascularisation in selected patients should be considered, as the immediate post-operative outcome is comparable to patients without malignancy."
3,Peripheral,Management of Acute Limb Ischaemia,2020,I,C,"[""Consensus""]","For patients presenting with a possible diagnosis of acute limb ischaemia, it is recommended that clinical assessment is performed urgently by a vascular specialist, who should be responsible for planning further investigation and management."
4,Peripheral,Management of Acute Limb Ischaemia,2020,I,C,"[""Rutherford""]","For patients presenting with acute limb ischaemia, the Rutherford classification for acute limb ischaemia is recommended for clinical evaluation."
5,Peripheral,Management of Acute Limb Ischaemia,2020,I,C,"[""Weiss""]","For patients presenting with acute limb ischaemia, diagnostic imaging is recommended to guide treatment, provided it does not delay treatment, or if the need for primary amputation is obvious."
6,Peripheral,Management of Acute Limb Ischaemia,2020,I,B,"[""Jens"", ""Jakubiak""]","For patients presenting with acute limb ischaemia, computed tomography angiography is recommended as the first line modality for anatomical imaging."
7,Peripheral,Management of Acute Limb Ischaemia,2020,IIb,B,"[""Jens"", ""Collins"", ""Hingorani"", ""Crawford""]","For patients presenting with acute limb ischaemia, duplex ultrasound or contrast-enhanced magnetic resonance angiography may be considered for alternative imaging before starting treatment, depending on availability and clinical assessment."
8,Peripheral,Management of Acute Limb Ischaemia,2020,III,C,"[""Watson"", ""Currie""]","For patients presenting with acute limb ischaemia, it is not recommended to use results of myoglobin and creatine kinase on admission to base the decision to defer revascularisation or primary amputation."
9,Peripheral,Management of Acute Limb Ischaemia,2020,I,C,"[""Aboyans"", ""Gerhard-Herman"", ""Alonso-Coello""]","For patients with acute limb ischaemia awaiting revascularisation, heparin is recommended."
10,Peripheral,Management of Acute Limb Ischaemia,2020,I,C,"[""Berridge""]","For patients with acute limb ischaemia awaiting revascularisation, supplemental oxygen is recommended."
11,Peripheral,Management of Acute Limb Ischaemia,2020,I,C,"[""Aboyans"", ""Gerhard-Herman"", ""Alonso-Coello""]","For patients with acute limb ischaemia awaiting revascularisation, adequate analgesia and intravenous rehydration are recommended."
12,Peripheral,Management of Acute Limb Ischaemia,2020,IIb,B,"[""de Donato"", ""Li""]","For patients with acute limb ischaemia, treated by open surgery, prostacyclin analogues may be considered during and after revascularisation."
13,Peripheral,Management of Acute Limb Ischaemia,2020,I,B,"[""Grip"", ""Bath""]",It is recommended that patients diagnosed with acute limb ischaemia in a non-vascular centre be transferred to a vascular centre that offers the full range of open and endovascular interventions with an urgency that depends on the severity of the ischaemia.
