rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],Management of descending thoracic aortic disease is recommended to be organised in defined networks with established referral pathways.
2,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIa,C,[Consensus],Patients with acute descending thoracic aortic disease should be considered for prompt transfer to aortic centres for comprehensive evaluation and management.
3,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],Aortic centres treating descending thoracic aortic disease are recommended to have a yearly caseload of ≥ 20 repairs.
4,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],A fast track vascular surgical care pathway* is recommended for patients with a descending thoracic aortic pathology who meet the size criteria for elective repair.
5,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],Aortic centres performing descending thoracic aortic repair are recommended to enrol cases in validated prospective quality registries to enable systematic monitoring of practice and clinical outcomes.
6,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],"Thin slice multiphase computed tomography angiography is recommended as the first line imaging modality for diagnosis, surveillance, pre-operative planning, and post-operative follow up of descending thoracic aortic pathologies."
7,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],"It is recommended that aortic imaging encompasses the entire aorta, from the supra-aortic vessels* to the common femoral arteries."
8,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIa,C,[Consensus],"To reduce radiation exposure, magnetic resonance imaging should be considered as an alternative imaging modality for diagnosis, surveillance, and post-operative follow up of descending thoracic aortic pathologies, especially in younger patients."
9,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIa,C,[Consensus],Fluorine-18 fluorodeoxyglucose positron emission tomography integrated with computed tomography (18F-FDG-PET/CT) should be considered an adjunctive imaging modality in the diagnostic evaluation of infected and non-infected aortitis of the descending thoracic aorta.
10,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIa,C,[Consensus],"Intra-operative image fusion should be considered during endovascular thoracic and thoraco-abdominal aortic repair to reduce radiation exposure, contrast volume, and operating time."
11,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIb,C,[Consensus],Transoesophageal echocardiography may be considered for use as an adjunctive intra-operative imaging modality during open and endovascular thoracic aortic repair.
12,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIb,C,[Consensus],Intravascular ultrasound may be considered for use as an adjunctive intra-operative imaging modality for guidance during thoracic endovascular aortic repair.
13,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,"[Coselli., Coselli. Brown., Girardi., Orozco-Sevilla., Girardi.]","Pre-operative assessment of cardiac, pulmonary, and renal function is recommended before elective open or complex endovascular repair involving the descending thoracic aorta to allow for informed decision making and pre-operative optimisation."
14,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIb,C,[Consensus],"Pre-operative revascularisation of symptomatic or significant asymptomatic coronary artery disease may be considered in selected cases, particularly before extensive thoracic and thoraco-abdominal aortic repair."
15,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIa,C,"[Flanagan., Paajanen., Kärkkäinen.]",Multidisciplinary assessment of patient frailty should be considered for candidates for elective descending thoracic aortic repair.
16,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],"Assessment and optimisation of cardiovascular risk factors, best medical therapy, and a healthy lifestyle including smoking cessation are recommended for patients with descending thoracic aortic disease."
17,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIb,C,[Consensus],Extensive thrombosis “shaggy aorta” may be considered for intensified medical therapy with statins to stabilise the thrombotic lesions before aortic repair.
18,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],"Patients with thoracic aortic disease are recommended to be fully informed about all treatment options (medical management, endovascular repair, or open surgery), as well as their short and long term risks, including their potential impact on function, independence, and quality of life, to support shared decision making."
19,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIIIb,C,[Consensus],"Endovascular or open surgical repair, whether elective or for ruptured thoracic or thoraco-abdominal aortic aneurysm, is not recommended in patients deemed unfit for repair or unlikely to benefit due to severe comorbidities, frailty, limited life expectancy*, or those who decline intervention after shared decision making."
20,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],Pregnant women with descending thoracic aortic aneurysm or dissection are recommended to be referred to experienced aortic centres* for individualised multidisciplinary management by a cardiovascular–obstetric team.
21,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,Ila,B,[Consensus],"Left subclavian artery revascularisation should be considered in patients undergoing elective thoracic endovascular aortic repair with intentional left subclavian artery coverage, taking into account the risk of end organ ischaemia* and urgency of the procedure."
22,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,Ila,C,[Consensus],"The choice between open and endovascular left subclavian artery revascularisation during thoracic endovascular aortic repair should be considered on a case by case basis, taking into account urgency, patient physiology, anatomy, underlying pathology, and patient preferences."
23,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,"[Tenorio., Dijkstra, Aucoin, Sickels <i>et al.]","Protocolised strategies* for the prevention, early detection, and management of spinal cord ischaemia are recommended for patients undergoing descending thoracic and thoraco-abdominal aortic repair."
24,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,Ila,C,"[Kasprzak., Dias-Neto., Juszczak.]",Staged repair should be considered for patients undergoing extensive thoracic and thoraco-abdominal endovascular aortic repair.
25,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,A,"[Coselli., Khan.]",Prophylactic cerebrospinal fluid drainage is recommended for patients undergoing open thoracic or thoraco-abdominal aortic repair.
26,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIb,C,[Consensus],A reactive (rescue) cerebrospinal fluid drainage strategy may be considered preferable to routine prophylactic drainage in patients undergoing extensive thoracic endovascular aortic repair.
27,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIa,C,[Consensus],Re-implantation of major intercostal arteries should be considered during open thoraco-abdominal aortic repair to reduce the risk of spinal cord ischaemia.
28,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIa,C,[Consensus],Preservation of flow to the internal iliac arteries should be considered during endovascular thoraco-abdominal aortic repair to reduce the risk of spinal cord ischaemia.
29,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],Early* clinical neurological evaluation is recommended after open or endovascular thoracic or thoraco-abdominal aortic repair to enable prompt detection and treatment of spinal cord ischaemia.
30,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,Ila,C,[Consensus],Peri-operative monitoring of motor evoked potentials should be considered during open thoraco-abdominal aortic repair for early detection of spinal cord ischaemia.
31,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIb,C,[Consensus],Pre-flushing* of the delivery system of the thoracic endograft may be considered in patients undergoing thoracic endovascular aortic repair to reduce the risk of cerebral air embolism.
32,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,I,C,[Consensus],Pre-operative assessment of the iliofemoral access vessels is recommended before thoracic endovascular aortic repair.
33,Aortic_thoracic,Management of Descending Thoracic and Thoraco-Abdominal Aortic Diseases,2026,IIa,C,[Consensus],"To enable device delivery, endovascular or open surgical optimisation should be considered for compromised access due to diseased and or small calibre iliofemoral arteries."
