rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,B,"[Wardlaw et al.,<br>Patel et al.]","Changed  For patients undergoing evaluation of the extent and severity of extracranial carotid stenoses, duplex ultrasound, computed tomographic angiography and/or magnetic resonance angiography are recommended."
2,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,B,[Wardlaw et al.],"Changed  For patients where carotid endarterectomy is being considered, it is recommended that duplex ultrasound stenosis estimation be corroborated by computed tomographic angiography or magnetic resonance angiography, or by a repeat duplex ultrasound performed by a second operator."
3,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,B,[Wardlaw et al.],"Changed  For a patient where carotid artery stenting is being considered, it is recommended that any duplex ultrasound study be followed by computed tomographic angiography or magnetic resonance angiography, which will provide additional information on the aortic arch, as well as the extra- and intracranial circulation."
4,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,C,[Walker et al.],"Unchanged  In units which base management decisions in patients with atherosclerotic carotid disease on duplex ultrasound measurement, it is recommended that reports should state which measurement method is used."
5,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,III,B,[Wardlaw et al.],"Changed  For patients with atherosclerotic disease being considered for revascularisation, intra-arterial digital subtraction angiography is not recommended, unless there are significant discrepancies on non-invasive imaging."
6,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,C,[Bazan et al.],"Unchanged  Multidisciplinary team review is recommended to reach consensus decisions regarding the indications for, and treatment of, patients with carotid stenosis regarding carotid endarterectomy, carotid stenting or optimal medical therapy."
7,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,C,"[Rothwell et al.,<br>Theiss et al.]",Unchanged  Independent neurological assessment before and after carotid interventions is recommended to audit peri-procedural risks.
8,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,B,"[O'Connor et al., Herder et al., Shinton et al., Lee et al., Strazzullo et al.]","For patients with asymptomatic and symptomatic carotid disease, behavioural counselling to promote healthy diet, smoking cessation and physical activity is recommended."
9,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,IIa,C,"[King et al., Antithrombotic Trialists Collaboration et al.]","Changed  For patients with >50% asymptomatic carotid stenosis, lower dose aspirin (75–325 mg daily) should be considered, mainly for the prevention of late myocardial infarction and other cardiovascular events."
10,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,IIa,C,[Murphy et al.],"New  For patients with >50% asymptomatic carotid stenosis who are intolerant or allergic to aspirin, clopidogrel 75 mg daily should be considered. If intolerant or allergic to both aspirin and clopidogrel, dipyridamole monotherapy (200 mg twice daily) should be considered."
11,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,B,[Taylor <i>et al.</i>],"New  For patients with asymptomatic carotid stenosis who are undergoing carotid endarterectomy, lower dose aspirin (75–325 mg daily) rather than higher dose aspirin (>325 mg daily) is recommended."
12,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,B,"[Murphy <i>et al.</i>, McKevitt <i>et al.</i>, Mannheim <i>et al.</i>, Gurm <i>et al.</i>, Rosenfield <i>et al.</i>, Eckstein <i>et al.</i>, Quinn <i>et al.</i>]","Unchanged  For patients with asymptomatic carotid stenosis undergoing carotid stenting, combination antiplatelet therapy with aspirin (75–325 mg daily) and clopidogrel (75 mg daily) is recommended. Clopidogrel (75 mg daily) should be started at least three days before stenting or as a single 300 mg loading dose given in urgent cases. Aspirin and clopidogrel should be continued for at least four weeks after stenting and then antiplatelet monotherapy should be continued indefinitely."
13,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,B,"[Zhan <i>et al.</i>, Halliday <i>et al.</i>, Cholesterol Treatment Trialists Collaboration]","Changed  For patients with asymptomatic carotid stenosis, lipid lowering therapy with statins (with or without ezetimibe) is recommended for the long-term prevention of stroke, myocardial infarction, and other cardiovascular events."
14,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,IIa,C,"[Giugliano <i>et al.</i>, Schmidt <i>et al.</i>]","New  For patients with asymptomatic carotid stenosis with dyslipidaemia who are intolerant of statins, with or without ezetimibe, lipid lowering therapy with PCSK9 inhibitors should be considered."
15,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,A,[Williams <i>et al.</i>],"Unchanged  For patients with asymptomatic or symptomatic carotid stenoses and hypertension, antihypertensive treatment is recommended."
16,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,I,B,"[NICE, NICE, ABCD, American Diabetes Association]","For diabetic patients with asymptomatic carotid stenoses, optimal glycaemic control is recommended."
17,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,III,C,[Consensus],Routine population screening for asymptomatic carotid stenosis is not recommended.
18,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,IIb,B,"[AbuRahma et al., Poorthuis et al., Poorthuis et al., Brott et al., Cosentino et al., Mach et al.]","For patients with two or more vascular risk factors, selective screening for asymptomatic carotid stenosis may be considered in order to optimise risk factor control and medical therapy. The main purpose is to reduce late cardiovascular morbidity and mortality, rather than identifying candidates for carotid interventions."
19,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,IIa,B,"[Executive Committee for the Asymptomatic Carotid Atherosclerosis Study, MRC Asymptomatic Carotid Surgery Trial (ACST) Collaborative Group, Halliday <i>et al.</i>, Nicolaides <i>et al.</i>, Kakkos <i>et al.</i>, Kakkos <i>et al.</i>, Kakkos <i>et al.</i>, Hirt <i>et al.</i>, Nicolaides <i>et al.</i>, Gupta <i>et al.</i>, King <i>et al.</i>, Gupta <i>et al.</i>, Markus <i>et al.</i>, Topakian <i>et al.</i>]","Unchanged  For average surgical risk patients with an asymptomatic 60–99% stenosis, carotid endarterectomy should be considered in the presence of one or more imaging or clinical characteristics that may be associated with an increased risk of late stroke\*, provided 30 day stroke/death rates are ≤3% and patient life expectancy exceeds five years."
20,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,Iib,B,"[Mannheim et al., Rosenfield et al., Eckstein et al., Nicolaides et al., Kakkos et al., Kakkos et al., Kakkos et al., Hirt et al., Nicolaides et al., Gupta et al., King et al., Gupta et al., Markus et al., Topakian et al., Silver et al.]","Unchanged  For average surgical risk patients with an asymptomatic 60–99% stenosis in the presence of one or more imaging or clinical characteristics that may be associated with an increased risk of late stroke\*, carotid stenting may be an alternative to carotid endarterectomy, provided 30 day stroke/death rates are ≤3% and patient life expectancy exceeds five years."
21,Carotid,Management of Atherosclerotic Carotid and Vertebral Artery Disease,2023,Iib,B,"[Gurm et al., Nicolaides et al., Kakkos et al., Kakkos et al., Kakkos et al., Hirt et al., Nicolaides et al., Gupta et al., King et al., Gupta et al., Markus et al., Topakian et al., Yadav et al.]","Unchanged  For asymptomatic patients deemed by the multidisciplinary team to be 'high risk for surgery' and who have an asymptomatic 60–99% stenosis in the presence of one or more imaging/clinical characteristics that may be associated with an increased risk of late stroke on best medical therapy, carotid stenting may be considered provided anatomy is favourable, 30 day death/stroke rates are ≤3% and patient life expectancy exceeds five years\*."
