rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,"Terlouw  et al., Omran  et al.</i>",Chronic mesenteric ischaemia is recommended to be considered present in patients with chronic abdominal symptoms and > 50% stenosis of the superior mesenteric artery and > 50% in another mesenteric artery. (*class upgraded from IIb to I*)
2,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,"Terlouw  et al., Omran  et al.",Chronic mesenteric ischaemia may be considered to be present in patients with chronic abdominal symptoms and > 70% isolated superior mesenteric artery stenosis (*rephrased and class downgraded from IIa to IIb*).
3,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,Consensus,It is recommended that patients with chronic mesenteric ischaemia are investigated and treated at specialised centres that can offer multidisciplinary assessment as well as both open and endovascular revascularisation.
4,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,"Moneta  et al., Zwolak  et al., AbuRahma  et al., van Petersen  et al.",Duplex ultrasound of the mesenteric arteries after a minimum of four hours fasting is recommended as the first line examination in patients suspected of chronic mesenteric ischaemia.
5,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,"van Dijk  et al., Hagspiel  et al.","Computed tomography angiography is recommended as the preferred imaging for diagnosis, treatment planning, and to exclude other intra-abdominal pathology in patients suspected of chronic mesenteric ischaemia."
6,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,"Hagspiel  et al., Carlos  et al., Meany  et al.</i","Contrast enhanced magnetic resonance angiography may be considered as an alternative to computed tomography angiography for diagnosis, treatment planning, and to exclude other intra-abdominal pathology in patients suspected of chronic mesenteric ischaemia."
7,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,Consensus,It is recommended to assess the cardiovascular risk profile of patients with asymptomatic atherosclerotic mesenteric artery disease and to offer secondary prevention.
8,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,Consensus,It is recommended to counsel patients with asymptomatic multivessel mesenteric artery occlusive disease regarding abdominal symptoms related to mesenteric ischaemia.
9,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,"Terlouw  et al., Omran  et al., Nana  et al.",Revascularisation is recommended in patients with multivessel occlusive mesenteric artery disease and chronic mesenteric ischaemia.
10,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,"Flis  et al., Wagenh�user  et al., Malgor  et al., Ahanchi  et al.",Revascularisation of at least the superior mesenteric artery is recommended for patients with multivessel occlusive mesenteric artery disease and chronic mesenteric ischaemia (*rephrased and LoE downgraded from B to C*).
11,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIa,A,"Terlouw  et al., van Dijk  et al., ter Steege  et al.","Revascularisation should be considered in patients with chronic mesenteric ischaemia due to isolated superior mesenteric artery disease (*class upgraded from IIb to IIa, LoE downgraded from B to C*)."
12,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,"Terlouw  et al., Omran  et al., Flis  et al., Wagenh�user  et al., van Dijk  et al. ",Revascularisation may be considered in patients suspected of chronic mesenteric ischaemia due to isolated coeliac artery disease.
13,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIIb,A,Consensus,"It is not recommended to improve nutritional status and delay urgent revascularisation in patients with severe chronic mesenteric ischaemia (severe weight loss, diarrhoea, constant pain)."
14,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,"Nana  et al., Alahdab  et al., Erben  et al., Bulut  et al., Altintas  et al.",An endovascular first approach as preferred treatment strategy is recommended for patients with chronic mesenteric ischaemia and suitable anatomy who need revascularisation (*rephrased*).
15,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,Nana  et al.,Routine mesenteric artery stenting as opposed to plain balloon angioplasty is recommended in patients with chronic mesenteric ischaemia requiring endovascular treatment.
16,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIa,A,"Oderich  et al., Terlouw  et al.","Covered stents should be considered for lesions shorter than 25 mm in patients with chronic mesenteric ischaemia requiring mesenteric artery stenting, if no significant side branches are covered (*class upgraded from IIb to IIa, LoE upgraded from C to B*)."
17,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,Consensus,Bare metal stents may be considered for lesions longer than 25 mm and or those required to land beyond any significant side branches in patients with chronic mesenteric ischaemia requiring mesenteric artery stenting.
18,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,Consensus,A short course (minimum of one month) of dual antiplatelet therapy (aspirin and clopidogrel) may be considered in order to reduce the risk of stent thrombosis for patients who underwent endovascular revascularisation for atherosclerotic mesenteric artery disease.
19,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIa,A,"Flis  et al., Oderich  et al., Lejay  et al., <br>Blauw  et al.","Open revascularisation in patients with chronic mesenteric ischaemia should be considered in fit patients, after failed endovascular intervention, or when endovascular intervention is not feasible or is contraindicated (*LoE downgraded from B to C*)."
20,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,"S�nemaud  et al., Crillo-Penn  et al.",Retrograde open mesenteric artery stenting may be considered in patients with chronic mesenteric ischaemia needing superior mesenteric artery revascularisation when an antegrade percutaneous approach is not feasible or successful (*class downgraded from IIa to IIb*).
21,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIa,A,"Andraska  et al., Barnes  et al., Tallarita  et al., Sorour  et al., Green  et al.",Follow up with clinical and imaging assessment should be considered for patients in the first year after endovascular or open revascularisation for chronic mesenteric ischaemia (*class upgraded from IIb to IIa*).
22,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIa,A,"Soult  et al., Barnes  et al., AbuRahma  et al., Pamulapati  et al., Green  et al.",Duplex ultrasound of the mesenteric arteries should be considered as the first line examination for patients with recurrent symptoms after revascularisation for chronic mesenteric ischaemia.
23,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,"Andraska  et al., Barnes  et al., Sorour  et al., Green  et al",Computed tomography angiography is recommended as second level imaging after duplex ultrasound diagnosis of re-stenosis in patients after revascularisation for chronic mesenteric ischaemia.
24,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIa,A,"Nana  et al., Tallarita  et al., Kanamori  et al., Zhou  et al.",Endovascular revascularisation as first line treatment should be considered for patients with a symptomatic re-stenosis after endovascular or open revascularisation for chronic mesenteric ischaemia.
25,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,Consensus,Endovascular revascularisation may be considered for selected patients with an asymptomatic > 70% re-stenosis after endovascular or open revascularisation for chronic mesenteric ischaemia.
26,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIa,A,"Metz  et al., Jimenez  et al.",Median arcuate ligament syndrome should be considered in highly selected patients with otherwise unexplained chronic abdominal symptoms and coeliac artery stenosis or occlusion due to external compression.
27,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,van Petersen  et al.,Duplex ultrasound of the mesenteric arteries during inspiration and expiration is recommended as the first line examination in patients suspected of median arcuate ligament syndrome.
28,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,I,A,Consensus,Multidisciplinary management at specialised centres is recommended for patients suspected of having median arcuate ligament syndrome.
29,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,"Metz  et al., DeCarlo  et al.",Surgical intervention may be considered for selected patients with median arcuate ligament syndrome.
30,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIb,A,"Metz  et al., DeCarlo  et al., Jimenez  et al., van Petersen  et al.",Laparoscopic or video assisted endoscopic retroperitoneal coeliac artery release may be considered the preferred treatment option for patients with median arcuate ligament syndrome undergoing surgical intervention.
31,Splachnic,Management of Diseases of the Mesenteric and Renal Arteries and Veins,2025,IIIB,C,"[Treskes  et al., Khan  et al., Reintam Blaser  et al., Blauw  et al.]",A single measurement of a biomarker such as lactate or D dimer to confirm or rule out the diagnosis in patients with a clinical suspicion of acute mesenteric ischaemia is not recommended.
