rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,C,"[Lyons et al.</i>, Back, Teebken et al.</i>","Once vascular graft/endograft infection is suspected, exhaustive evaluation of clinical status, signs of infection and patient comorbidities according to the MAGIC criteria is recommended."
2,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,C,Baron et al.,"When a vascular graft/endograft infection is suspected, it is recommended that every effort is made to obtain microbiological proof of infection."
3,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIa,C,"Baron et al., Padberg et al.","To obtain microbiological proof of vascular graft/endograft infection, the yield of at least three deep rather than superficial samples should be considered."
4,general_vascular,Management of Vascular Graft and Endograft Infections,2020,III,C,Scherrer et al.,Microbiological investigation of negative pressure wound therapy foams should not be performed in order to support the diagnosis of vascular graft/endograft infection.
5,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIb,C,Wengrowitz et al.,Sonification of intra-operatively harvested graft material may be considered in order to improve the micro-organism detection rate.
6,general_vascular,Management of Vascular Graft and Endograft Infections,2020,III,C,Bruggink et al.,"For patients suspected of vascular graft/endograft infection, the use of ultrasound as the sole diagnostic modality is not recommended."
7,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,B,Reinders Folmer et al.,"For suspected vascular graft/endograft infection, CTA is recommended as the first line diagnostic modality."
8,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIb,C,Shahidi et al.,"For patients suspected of vascular graft/endograft infection, if CTA is contra-indicated, the use of MRA may be considered."
9,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,B,Reinders Folmer et al.,"For patients with a clinical suspicion of vascular graft/endograft infection and with non-convincing findings on CTA, the use of 18F-FDG-PET combined with low dose CT is recommended as an additional imaging modality to improve diagnostic accuracy."
10,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,B,Reinders Folmer et al.,"In patients with a clinical suspicion of peripheral vascular graft/endograft infection, single photon emission computed tomography, if available, is recommended as an additional imaging modality to improve diagnostic accuracy."
11,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,A,Stewart et al.,"In every case where a vascular graft/endograft is implanted, antimicrobial prophylaxis to cover the first 24 hours, by intravenous administration of a first/second generation cephalosporin or vancomycin in the event of penicillin allergy, is recommended."
12,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIa,C,Habib et al.,"Before implantation of any vascular graft/endograft, elimination of any potential source of sepsis, especially of dental origin, should be considered."
13,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIa,C,Habib et al.,"Antimicrobial prophylaxis to prevent vascular graft/endograft infection should be considered before any dental procedure involving the manipulation of the gingival or peri-apical region of teeth or perforation of the oral mucosa, including scaling and root canal procedures for patients previously operated on with a vascular/endovascular graft."
14,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,B,"Darouiche, Revest et al.",Antimicrobial therapy is recommended in every patient with an infected graft/endograft.
15,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,C,Consensus of expert opinion,For the diagnosis and treatment of vascular graft/endograft infection it is recommended that the patient be transferred to specialised high volume centre with multidisciplinary experience in this pathology.
16,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIb,C,Lazaris et al.,When patch corrugation is found on ultrasound follow up after carotid endarterectomy further investigations may be considered to exclude a vascular graft infection.
17,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,C,"Lejay et al., Son et al., Grazziotin et al., Kaviani et al.","For patients with supra-aortic trunk vascular graft/endograft infection, total removal of infected material followed by reconstruction with autologous material is recommended."
18,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIb,C,"Kragsterman et al., Thorbjornsen et al.",The EndoVAC technique may be considered as a treatment option in selected patients with supra-aortic trunk vascular graft/endograft infection when neither total removal of infected material nor when usual conservative VAC therapy are considered feasible or safe.
19,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIb,C,Younis et al.,"In the emergency setting with active bleeding in patients with supra-aortic trunk vascular graft/endograft infection, a combined endovascular and surgical approach may be considered."
20,general_vascular,Management of Vascular Graft and Endograft Infections,2020,IIb,C,Myles et al.,"Conservative treatment, including antimicrobial therapy without reconstruction, for supra-aortic trunk vascular graft/endograft infection may be considered for patients unfit for surgery."
21,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,C,Lyons et al.,"For persistent fever or inflammatory symptoms after implantation of a thoracic graft/endograft, further diagnostic investigations are recommended in the search for infection."
22,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,B,"Kahlberg et al., Moulakakis et al.","For fit patients with proven thoracic/thoraco-abdominal vascular graft/endograft infection, total graft explantation is recommended."
23,general_vascular,Management of Vascular Graft and Endograft Infections,2020,I,C,"Spiliotopoulos et al., Roselli et al.","For patients with *in situ* reconstructions of thoracic/thoraco-abdominal vascular graft/endograft infection, coverage of the newly inserted graft with autologous, and ideally vascularised, tissue is recommended."
24,general_vascular,Management of Vascular Graft and Endograft Infections,2020,Iib,B,"Czerny et al., Kahlberg et al., Chiesa et al.","For patients with thoracic vascular graft/endograft infection that are at major risk of surgery, conservative treatment may be considered."
