rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Vascular_general,Management of Vascular Trauma,2025,I,C,"DuBose et al., Harfouche et al.",Rapid access to a clinical team 24/7 competent in haemorrhage control and delivery of both open and endovascular surgery is recommended for the management of patients with life or limb threatening vascular injuries.
2,Vascular_general,Management of Vascular Trauma,2025,I,C,Consensus,Implementation of civilian and military vascular trauma curricula and dedicated training are recommended for the development and maintenance of vascular trauma decision making and technical skills.
3,Vascular_general,Management of Vascular Trauma,2025,I,C,Consensus,Emergency access to an operating room with hybrid capability is recommended for the operative treatment of the trauma patient with a vascular injury.
4,Vascular_general,Management of Vascular Trauma,2025,I,A,"Holcomb et al., Roberts et al, Sperry et al.",Damage control resuscitation principles and massive transfusion protocols used for patients with traumatic haemorrhage are recommended for patients with vascular trauma.
5,Vascular_general,Management of Vascular Trauma,2025,I,A,"Roberts et al., Fouche et al., <br>Asaadi et al.",Early administration of tranexamic acid is recommended for all severely bleeding patients with vascular trauma.
6,Vascular_general,Management of Vascular Trauma,2025,I,C,"Scerbo et al., Beekley et al., Covey et al., Benitez et al., Henry et al., Teixera et al.","A pre-hospital tourniquet, applied as distally as possible, is recommended for patients with uncontrolled bleeding from extremity vascular trauma when local compression and or packing are not sufficient."
7,Vascular_general,Management of Vascular Trauma,2025,IIa,C,Consensus,Heparinisation is not indicated as part of tourniquet management in patients with uncontrolled bleeding from extremity vascular trauma.
8,Vascular_general,Management of Vascular Trauma,2025,IIIb,B,"Jansen et al., Maiga et al.",Resuscitative endovascular balloon occlusion of the aorta (REBOA) is not recommended as a routine approach for temporary haemorrhage control in trauma patients with exsanguinating torso haemorrhage.
9,Vascular_general,Management of Vascular Trauma,2025,I,C,Consensus,"Haemodynamically unstable patients, deemed unsuitable for computed tomography angiography, are recommended to be immediately transferred to the operating room for surgical intervention."
10,Vascular_general,Management of Vascular Trauma,2025,I,C,"Inaba et al., Patterson et al., Walkoff et al.","Computed tomography angiography, including arterial and venous phase, is recommended as the first line investigation to identify or rule out vascular injury in trauma patients without clinical signs of active bleeding."
11,Vascular_general,Management of Vascular Trauma,2025,IIIB,C,Consensus,Avoiding or postponing computed tomography angiography because of possible renal impairment is not recommended in haemodynamically stable patients with potentially life or limb threatening vascular injuries.
12,Vascular_general,Management of Vascular Trauma,2025,I,C,Alarhayem et al. Vuoncino et al.,"Restoration of inline arterial flow, temporarily or definitively, is recommended to be prioritised in the management of limb or end organ threatening vascular trauma."
13,Vascular_general,Management of Vascular Trauma,2025,I,C,Consensus,Primary definitive repair for patients with vascular trauma is recommended over temporary solutions.
14,Vascular_general,Management of Vascular Trauma,2025,I,C,"Tung et al., Borut et al., Subramanian et al., Polcz et al., Laverty et al., Feliciano et al.",The use of temporary vascular shunts to rapidly restore blood flow is recommended when timely primary definitive vascular repair is not feasible due to patient physiology or injury pattern.
15,Vascular_general,Management of Vascular Trauma,2025,IIa,C,Mathew et al.,"Vascular shunts should be considered for conversion to definitive repair as soon as possible, ideally at the primary operation."
16,Vascular_general,Management of Vascular Trauma,2025,I,C,"Ray et al., Karmy-Jones et al., Aksoy et al., Yagubyan et al., Lyons et al.",Short interposition grafts are recommended in patients with vascular trauma requiring reconstruction.
17,Vascular_general,Management of Vascular Trauma,2025,IIa,C,"Watson et al., Forsyth et al.",Vein grafts should be considered for vascular reconstruction of arterial injury requiring longer bypass conduits or for small calibre distal vessels.
