rec_id,category_name,guideline_name,guideline_year,class,level,evidence_first_authors,rec_text_verbatim
1,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],Decision making for the treatment of aortic arch pathologies by an aortic team is recommended
2,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],Centralization of care for aortic arch pathologies is recommended
3,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],Treatment of elective aortic arch pathology is recommended to be performed in specialized centres providing open and endovascular cardiac and vascular surgery on site only
4,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],Continuing follow-up of patients with aortic arch pathologies before and after treatment in a dedicated outpatient clinic is recommended
5,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],A hybrid room with a fixed imaging system is recommended for thoracic endovascular aortic repair involving the aortic arch
6,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIa,B,[],Treatment of isolated aortic arch aneurysms should be considered at a diameter of 55 mm
7,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],**Preoperative assessment of aortic arch pathologies with CT angiography is recommended as the first line imaging modality**
8,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],**Assessment of patency and morphology of the circle of Willis is recommended where treatment involves the aortic arch**
9,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],**Assessment of the extra-cranial supra-aortic vessels down to the level of the femoral artery bifurcation is recommended where treatment involves the aortic arch**
10,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,B,[],TOE is recommended in all unstable intubated patients with suspected acute aortic syndrome
11,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIa,C,[],"During surgery for aortic arch repair, femoral arterial pressure monitoring should be considered"
12,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,B,[],"During surgery for aortic arch repair, the use of bilateral NIRS-based cerebral oximetry combined with an algorithmic approach to intervention for cortical Hb-desaturation is recommended"
13,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],"In situations of delayed SCI, selective secondary insertion of a CSF drainage tube as part of a treatment bundle is recommended"
14,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,B,[],"During surgery for aortic arch repair, multisite temperature monitoring (at a minimum nasopharyngeal, tympanic, bladder or rectal probe) is indicated"
15,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIa,A,[],"During aortic arch surgery, point-of-care coagulation monitoring in conjunction with an algorithmic approach to transfusion of blood products should be considered"
16,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],"**In case of ET implantation, the polyester trunk component should be accessible in zone 4**"
17,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,I,C,[],**An anticipative strategy with regard to potential future operations or interventions is recommended in any scenario of proximal aortic repair where later secondary distal repair may be needed**
18,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIa,C,[],"**In case of ET, one should consider performing the distal anastomosis in aortic arch zone 2 in order to ease accomplishment and to facilitate bleeding control**"
19,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIa,C,,The FET technique or TEVAR to close the primary entry tear should be considered in patients with acute type A aortic dissection with a primary entry in the distal aortic arch or in the proximal half of the DTA to treat associated malperfusion syndrome or to avoid its postoperative development
20,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIb,C,[],**The FET technique may be considered for use in patients undergoing surgery for acute type A aortic dissection to prevent mid-term aneurysmal formation in the downstream aorta**
21,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIa,C,,The FET technique should be considered in patients with complicated acute type B aortic dissection when endovascular interventions are contraindicated
22,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIa,C,,"The FET technique should be considered in patients with concomitant distal thoracic and thoraco-abdominal aortic disease that, in a later stage, will or is likely to require either surgical or endovascular treatment"
23,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIb,B,[],TEVAR in zone 0 after previous debranching may be considered in patients unfit for open repair and suitable anatomy
24,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,IIa,B,[],TEVAR in zones 1 and 2 should be considered in patients with suitable anatomy
25,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,III,B,[],Stent-graft deployment is not recommended in patients with a proximal and/or distal landing zone length less than 25 mm or a maximum diameter of more than 38 mm
26,Aortic_arch,Treatment of Thoracic Aortic Pathologies Involving the Aortic Arch,2019,III,C,[],Zones 0-2 TEVAR are not recommended in patients with connective tissue disease if the proximal landing zone is in native aortic tissue
